歌曲名,读音,调位,语言,出处,歌手,歌词
爱就一个字,,C,国语歌曲,,张信哲,
爱你一万年,,C,国语歌曲,,刘德华,
不潮不用花钱,,C,国语歌曲,,林俊杰,
唱得响亮,,C,国语歌曲,,李宇春,
大城小爱,,C,国语歌曲,,王力宏,
当你,,C,国语歌曲,,林俊杰,
当我们宅一块,,C,国语歌曲,,罗志祥,
对面的女孩看过来,,C,国语歌曲,,任贤齐,
方圆几里,,C,国语歌曲,,薛之谦,
粉红色的回忆,,C,国语歌曲,,李玲玉,
光阴的故事,,C,国语歌曲,,罗大佑,
好久不见,,C,国语歌曲,,陈奕迅,
红豆,,C,国语歌曲,,王菲,
红日,,C,国语歌曲,,李克勤,
红玫瑰,,C,国语歌曲,,陈奕迅,
"花儿为什么这样红
",,C,国语歌曲,,,
九九艳阳天,,C,国语歌曲,,蒋大为&宋祖英,
卷珠帘,,C,国语歌曲,,霍尊,
来自你，来自我，来自他,,C,国语歌曲,,周华健,
龙船调,,C,国语歌曲,,宋祖英,
锣鼓,,C,国语歌曲,,林依轮,
老男孩,,C,国语歌曲,,筷子兄弟,
牧马人,,C,国语歌曲,,杨坤,
那时雨,,C,国语歌曲,,徐良,
难念的经,,C,国语歌曲,,周华健,
你快回来,,C,国语歌曲,,孙楠,
你怎么舍得我难过,,C,国语歌曲,,黄品源,
牛仔很忙,,C,国语歌曲,,周杰伦,
蒲公英的约定,,C,国语歌曲,,周杰伦,
奇妙能力歌,,C,国语歌曲,,陈粒,
亲爱的是你把我宠坏,,C,国语歌曲,,许茹芸,
死了都要爱,,C,国语歌曲,,信乐团,
伤心的人别听慢歌,,C,国语歌曲,,五月天,
深海,,C,国语歌曲,《潜伏》结尾曲,,
生死不离,,C,国语歌曲,,霍勇,
十九恋歌,,C,国语歌曲,,孙浩,
十送红军,,C,国语歌曲,,宋祖英,
时间煮雨,,C,国语歌曲,,郁可唯,
说好的幸福呢,,C,国语歌曲,,周杰伦,
天上有没有北大荒,,C,国语歌曲,,韩磊,
往事只能回味,,C,国语歌曲,,邓丽君,
我的爱对你说,,C,国语歌曲,,叶倩文,
我们拥抱亲吻相爱的人,,C,国语歌曲,,鹿先森乐队,
无所谓,,C,国语歌曲,,杨坤,
无与伦比的美丽,,C,国语歌曲,,苏打绿,
相思,,C,国语歌曲,《西游记后传》ED,毛阿敏,
相约,,C,国语歌曲,,潘劲东,
小城故事,,C,国语歌曲,,邓丽君,
笑红尘,,C,国语歌曲,,陈淑桦,
"心会跟爱一起走
",,C,国语歌曲,,,
烟花易冷,,C,国语歌曲,,林志炫,
野百合也有春天,,C,国语歌曲,,罗大佑,
有多少爱可以重来,,C,国语歌曲,,迪克牛仔,
愚公移山,,C,国语歌曲,,江涛,
在水一方,,C,国语歌曲,,邓丽君,
知足是福,,C,国语歌曲,,汤子星,
追光者,,C,国语歌曲,,岑宁儿,
"A Dog's Life
",,C,外语歌曲,,,
Bad Romance,,C,外语歌曲,,Lady Gaga,
"Bare Necessities
",,C,外语歌曲,,,
"Big Big World
",,C,外语歌曲,,,
"Brave Heart
",,C,外语歌曲,,,
Continued Story,,C,外语歌曲,,黒石ひとみ,
"Deja Vu
",,C,外语歌曲,,,
Escape,,C,外语歌曲,,Jaroslav Beck,
Free Loop,,C,外语歌曲,,Daniel Powter,
"Give Me Some Sunshine
",,C,外语歌曲,,,
God only knows,,C,外语歌曲,《只有神知道的世界》OP,ELISA,
Inner Urge,,C,外语歌曲,《没有黄段子存在的无聊世界》ED,,
Jump,,C,外语歌曲,,Van Halen,
"Like Humans Do
",,C,外语歌曲,,,
My Love,,C,外语歌曲,,,
Servante du feu,,C,外语歌曲,《空之音》OP,,
"What Are Words
",,C,外语歌曲,,,
Your Reality,,C,外语歌曲,《Doki Doki Literature Club!》ED,,
いのちの名前,,C,外语歌曲,,,
"風になる
",,C,外语歌曲,,,
"君がいれば
",,C,外语歌曲,,,
"きみのこえ
",,C,外语歌曲,,,
君へ,,C,外语歌曲,《中二病也要谈恋爱！Lite》OP,,
"桜の樹の下
",,C,外语歌曲,,,
さんぽ,,C,外语歌曲,《龙猫》OP,,
切羽,せっぱ,C,外语歌曲,,,
太陽曰く燃えよカオス,,C,外语歌曲,,,
"ドーナツハウスのミス・ライアン
",,C,外语歌曲,,,
めざせポケモンマスター,,C,外语歌曲,,,
夕顔,ゆうがお,C,外语歌曲,,,
床下の我が家,ゆかしたのわがや,C,外语歌曲,,,
ライオン,,C,外语歌曲,,,
귀요미송,,C,外语歌曲,,可爱颂,
cocoon,,C,纯音乐,《迷离三角》BGM,,
"Doki Doki Literature Club!
",,C,纯音乐,,,
"here comes the sweater weather
",,C,纯音乐,,,
Here We Are Again,,C,纯音乐,《喜剧之王》BGM,,
"Kotori Samba
",,C,纯音乐,,,
La valse d'Amélie,,C,纯音乐,《天使爱美丽》BGM,,
Moonglow,,C,纯音乐,,Bandari,
One day in spring,,C,纯音乐,,Bandari,
Peace of Mind,,C,纯音乐,,,
"ROBOTICS;NOTES
",,C,纯音乐,,,
"Säkkijärven polkka
",,C,纯音乐,,,
"欢沁
",,C,纯音乐,,,
"眉间心上
",,C,纯音乐,,,
"踏歌行
",,C,纯音乐,,,
"雪暖晴岚
",,C,纯音乐,,,
"榣山遗韵
",,C,纯音乐,,,
"玉满堂
",,C,纯音乐,,,
"玉水明沙
",,C,纯音乐,,,
"渔樵唱晚
",,C,纯音乐,,,
あの夏へ,,C,纯音乐,,,
与神ひよ,あたえかみひよ,C,纯音乐,,,
一途な心,いちずのこころ,C,纯音乐,,,
籠のなか,かごのなか,C,纯音乐,《蟲師》BGM,,
軌跡,きせき,C,纯音乐,,,
五月の村,ごがつのむら,C,纯音乐,《龙猫》BGM,,
久遠寺有珠,くおんじありす,C,纯音乐,,,
腐り姫の伝説,くさりひめのでんせつ,C,纯音乐,,,
潮鳴り,しおなり,C,纯音乐,,,
静希草十郎,しずきそうじゅうろう,C,纯音乐,,,
"だが待て、しばし
",,C,纯音乐,,,
"ナルトの日常
",,C,纯音乐,,,
変態乳牛,へんたいにゅうぎゅう,C,纯音乐,,,
宵祭りの風,よいまつりのかぜ,C,纯音乐,,,
"蘭のテーマ
",,C,纯音乐,,,
常回家看看,,C#,国语歌曲,,陈红,
匆匆那年,,C#,国语歌曲,,王菲,
大地飞歌,,C#,国语歌曲,,宋祖英,
蝶恋花,,C#,国语歌曲,,牛奶咖啡,
东西,,C#,国语歌曲,,张靓颖,
儿歌,,C#,国语歌曲,,张悬,
刚好遇见你,,C#,国语歌曲,,李玉刚,
滚滚长江东逝水,,C#,国语歌曲,,杨洪基,
过火,,C#,国语歌曲,,张信哲,
"海尔兄弟
",,C#,国语歌曲,,,
好听,,C#,国语歌曲,,许茹芸,
睫毛弯弯,,C#,国语歌曲,,王心凌,
